project_id,work_name,sector,work_type,state,district,constituency,mp_name,sanction_date,start_date,expected_completion_date,completion_date,status,sanctioned_amount,estimated_cost,actual_expenditure,physical_progress_percentage,implementing_agency,beneficiary_count,latitude,longitude
"DEMO-001","Construction of CC Road from Main Market to Panchayat Bhavan, Barabanki","Infrastructure","Road Construction","Uttar Pradesh","Barabanki","Barabanki (SC)","Tanuj Punia","2024-03-10","2024-04-01","2024-11-30","2024-12-15","Completed",8500000,8500000,8250000,100,"Public Works Department (PWD Div-2)",3200,26.9271,81.1834
"DEMO-002","Construction of 30-bed Primary Health Centre Inpatient Wing at Chargawan","Healthcare","Primary Health Centre","Uttar Pradesh","Gorakhpur","Gorakhpur","Ravi Kishan","2022-04-15","2022-06-01","2023-03-31","","Stalled",6500000,6500000,4200000,42,"Uttar Pradesh State Construction Corp (UPSIC)",15000,26.7915,83.3982
"DEMO-003","Installation of 150 High-Mast Solar Street Light Units across 12 Rural Wards","Energy & Lighting","Solar Street Lights","Bihar","Patna","Patna Sahib","Ravi Shankar Prasad","2023-08-20","2023-10-05","2024-04-30","","In Progress",4800000,4800000,4620000,30,"Bihar Renewable Energy Development Agency (BREDA)",8500,25.5941,85.1376
"DEMO-004","Construction of Multipurpose Community Hall at Village Rampur Kalan, Loni Block","Public Amenities","Community Hall","Uttar Pradesh","Ghaziabad","Ghaziabad","Atul Garg","2023-06-12","2023-07-15","2024-02-28","2024-03-10","Completed",3500000,3500000,3450000,100,"Rural Engineering Services (RES Div-1)",4500,28.6692,77.4538
"DEMO-005","Construction of Community Hall and Cultural Center at Gram Rampur Kalan","Public Amenities","Community Hall","Uttar Pradesh","Ghaziabad","Ghaziabad","Atul Garg","2023-09-25","2023-11-01","2024-06-30","","In Progress",3400000,3400000,3100000,75,"Zila Parishad Ghaziabad",4200,28.6715,77.4565
"DEMO-006","Modernization of Integrated Drainage System, Ward 14 to 18, Danapur","Water & Sanitation","Drainage Network","Bihar","Patna","Patliputra","Misa Bharti","2022-11-10","2023-01-15","2023-09-30","","Delayed",5200000,5200000,6100000,62,"District Rural Infrastructure Corp (DRIC)",11000,25.6295,85.0441
"MPL-2023-UT-0007","Construction of CC Road and Interlocking Pavement in Madhopur, Block Lucknow","Infrastructure","Road Construction","Uttar Pradesh","Lucknow","Lucknow Parliamentary Constituency","Rajveer Singh","2023-01-01","2023-01-21","2023-05-21","","In Progress",1800000,1800000,684000,40,"Public Works Department (PWD)",3660,25.0967,79.1962
"MPL-2024-MA-0008","Construction of Dr. Ambedkar Community Center & Bhavan at Mohanpur, Block Nagpur","Public Amenities","Community Hall","Maharashtra","Nagpur","Nagpur Parliamentary Constituency","Sanjay Deshmukh","2024-02-08","2024-02-29","2024-09-29","2024-09-20","Completed",2200000,2200000,2057000,100,"Zila Parishad",4340,18.5965,74.9789
"MPL-2025-BI-0009","Installation of Solar-Powered Deep Tube Well & RO Plant in Sundarpur, Block Muzaffarpur","Water & Sanitation","Drinking Water Borewell","Bihar","Muzaffarpur","Muzaffarpur Parliamentary Constituency","Sanjay Jha","2025-03-15","2025-04-06","2025-08-06","2025-07-29","Completed",600000,600000,570000,100,"Panchayati Raj Dept",2620,24.5361,85.5931
"MPL-2023-TA-0010","Supply and Erection of 60W LED Solar Street Lights in Gram Panchayat Narayanpur, Block Salem","Energy & Lighting","Solar Street Lights","Tamil Nadu","Salem","Salem Parliamentary Constituency","K. Kanimozhi","2023-04-22","2023-05-15","2023-11-15","2023-11-08","Completed",1200000,1200000,1158000,100,"State Renewable Energy Dev Agency",3540,11.1621,79.9519
"MPL-2024-RA-0011","Construction of 4 Additional Smart Classrooms at Govt Secondary School, Sitapur, Block Ajmer","Education","School Classroom Block","Rajasthan","Ajmer","Ajmer Parliamentary Constituency","Gajendra S. Shekhawat","2024-05-04","2024-05-28","2025-03-28","2025-03-22","Completed",2400000,2400000,2352000,100,"PWD (Building Division)",5180,27.6538,73.0279
"MPL-2025-KA-0012","Renovation and Medical Equipment Upgrade for PHC Sub-Centre at Bhagwanpur, Block Tumakuru","Healthcare","Primary Health Centre","Karnataka","Tumakuru","Tumakuru Parliamentary Constituency","Tejasvi Surya","2025-06-11","2025-07-06","2026-04-06","2026-04-01","Completed",1500000,1500000,1492500,100,"PWD (Health Division)",4300,16.5423,75.5389
"MPL-2023-MA-0013","Establishment of Youth Digital Library and E-Learning Hub at Keshopur, Block Bhopal","Education","Public Library","Madhya Pradesh","Bhopal","Bhopal Parliamentary Constituency","Alok Sharma","2023-07-18","2023-08-13","2024-01-13","2024-01-09","Completed",1400000,1400000,1414000,100,"District Library Authority",4380,21.2934,79.4969
"MPL-2024-GU-0014","Construction of Underground Covered RCC Drain in Shahpur, Block Surat","Water & Sanitation","Drainage Network","Gujarat","Surat","Surat Parliamentary Constituency","H. S. Patel","2024-08-25","2024-09-21","2025-03-21","","In Progress",2000000,2000000,949400,47,"Jal Sansthan",5300,21.1737,69.5474
"MPL-2025-OD-0015","Construction of Model Anganwadi Child Care Centre in Village Shivpur, Block Ganjam","Rural Development","Anganwadi Centre","Odisha","Ganjam","Ganjam Parliamentary Constituency","Aparajita Sarangi","2025-09-07","2025-10-05","2026-04-05","2026-04-03","Completed",900000,900000,828000,100,"Rural Works Organization",4180,20.4617,84.4685
"MPL-2023-WE-0016","Modernization of Moksha Dham / Crematorium Shed with Solar Lights at Govindpur, Block Hooghly","Public Amenities","Crematorium Shed","West Bengal","Hooghly","Hooghly Parliamentary Constituency","S. Bandyopadhyay","2023-10-14","2023-11-12","2024-03-12","2024-03-11","Completed",1100000,1100000,1028500,100,"Zila Parishad",4620,23.0918,88.24
"MPL-2024-AS-0017","Installation of Open Gym Equipment and Play Ground Development in Madhopur, Block Kamrup Metropolitan","Sports & Youth Affairs","Open Gym & Sports","Assam","Kamrup Metropolitan","Kamrup Metropolitan Parliamentary Constituency","Gaurav Gogoi","2024-11-21","2024-12-21","2025-04-21","2025-04-21","Completed",800000,800000,760000,100,"Municipal Board",2460,26.9006,94.3376
"MPL-2025-KE-0018","Construction of CC Road and Interlocking Pavement in Mohanpur, Block Ernakulam","Infrastructure","Road Construction","Kerala","Ernakulam","Ernakulam Parliamentary Constituency","Shashi Tharoor","2025-12-03","2026-01-03","2026-06-03","2026-06-04","Completed",1800000,1800000,1737000,100,"Zila Parishad Engineering Wing",3860,12.1455,75.1861
"MPL-2023-UT-0019","Construction of Dr. Ambedkar Community Center & Bhavan at Sundarpur, Block Gorakhpur","Public Amenities","Community Hall","Uttar Pradesh","Gorakhpur","Gorakhpur Parliamentary Constituency","Rajveer Singh","2023-01-10","2023-02-11","2024-01-11","2024-01-13","Completed",2200000,2200000,2156000,100,"Rural Development Authority",4540,25.2367,80.8762
"MPL-2024-MA-0020","Installation of Solar-Powered Deep Tube Well & RO Plant in Narayanpur, Block Solapur","Water & Sanitation","Drinking Water Borewell","Maharashtra","Solapur","Solapur Parliamentary Constituency","Sanjay Deshmukh","2024-02-17","2024-03-21","2024-06-21","2024-06-24","Completed",600000,600000,597000,100,"Jal Nigam",2820,18.7365,76.6589
